"rgn_id","habitat","boolean"
1,"rocky_reef",1
1,"seagrass",1
1,"soft_bottom",1
1,"saltmarsh",1
1,"seaice_edge",1
1,"seaice_shoreline",1
2,"rocky_reef",1
2,"seagrass",1
2,"soft_bottom",1
2,"saltmarsh",1
2,"seaice_edge",1
2,"seaice_shoreline",1
3,"rocky_reef",1
3,"seagrass",1
3,"soft_bottom",1
3,"saltmarsh",1
3,"seaice_edge",1
3,"seaice_shoreline",1
4,"rocky_reef",1
4,"seagrass",1
4,"soft_bottom",1
4,"saltmarsh",1
4,"seaice_edge",1
4,"seaice_shoreline",1
5,"rocky_reef",1
5,"seagrass",1
5,"soft_bottom",1
5,"saltmarsh",1
5,"seaice_edge",1
5,"seaice_shoreline",1
6,"soft_bottom",1
6,"seaice_edge",1
6,"seaice_shoreline",1
7,"soft_bottom",1
7,"seaice_edge",1
7,"seaice_shoreline",1
8,"soft_bottom",1
8,"seaice_edge",1
8,"seaice_shoreline",1
9,"soft_bottom",1
9,"seaice_edge",1
9,"seaice_shoreline",1
10,NA,NA
11,"rocky_reef",1
11,"seagrass",1
11,"soft_bottom",1
11,"seaice_edge",1
11,"seaice_shoreline",1
12,"rocky_reef",1
12,"seagrass",1
12,"soft_bottom",1
12,"seaice_edge",1
12,"seaice_shoreline",1
13,"rocky_reef",1
13,"seagrass",1
13,"soft_bottom",1
13,"seaice_edge",1
13,"seaice_shoreline",1
14,"rocky_reef",1
14,"seagrass",1
14,"soft_bottom",1
14,"seaice_edge",1
14,"seaice_shoreline",1
15,"soft_bottom",1
15,"saltmarsh",1
15,"seaice_edge",1
15,"seaice_shoreline",1
16,"soft_bottom",1
16,"saltmarsh",1
16,"seaice_edge",1
16,"seaice_shoreline",1
17,"seagrass",1
17,"soft_bottom",1
17,"saltmarsh",1
17,"seaice_edge",1
18,"rocky_reef",1
18,"seagrass",1
18,"soft_bottom",1
18,"seaice_edge",1
18,"seaice_shoreline",1
19,"rocky_reef",1
19,"seagrass",1
19,"soft_bottom",1
19,"seaice_edge",1
19,"seaice_shoreline",1
20,"soft_bottom",1
20,"seaice_edge",1
20,"seaice_shoreline",1
21,"soft_bottom",1
21,"saltmarsh",1
21,"seaice_edge",1
21,"seaice_shoreline",1
22,"soft_bottom",1
22,"saltmarsh",1
22,"seaice_edge",1
22,"seaice_shoreline",1
23,"soft_bottom",1
23,"saltmarsh",1
23,"seaice_edge",1
23,"seaice_shoreline",1
24,"soft_bottom",1
24,"saltmarsh",1
24,"seaice_edge",1
24,"seaice_shoreline",1
25,"soft_bottom",1
25,"saltmarsh",1
25,"seaice_edge",1
25,"seaice_shoreline",1
