"rgn_id","level","label"
1,"r2","Western Europe"
2,"r2","Western Europe"
3,"r2","Western Europe"
4,"r2","Western Europe"
5,"r2","Western Europe"
6,"r2","Western Europe"
7,"r2","Western Europe"
8,"r2","Western Europe"
9,"r2","Western Europe"
10,"r2","Western Europe"
11,"r2","Western Europe"
12,"r2","Western Europe"
13,"r2","Western Europe"
14,"r2","Western Europe"
15,"r2","Western Europe"
16,"r2","Western Europe"
17,"r2","Western Europe"
18,"r2","Western Europe"
19,"r2","Western Europe"
20,"r2","Western Europe"
21,"r2","Western Europe"
22,"r2","Western Europe"
23,"r2","Western Europe"
24,"r2","Western Europe"
25,"r2","Western Europe"
1,"r1","Europe"
2,"r1","Europe"
3,"r1","Europe"
4,"r1","Europe"
5,"r1","Europe"
6,"r1","Europe"
7,"r1","Europe"
8,"r1","Europe"
9,"r1","Europe"
10,"r1","Europe"
11,"r1","Europe"
12,"r1","Europe"
13,"r1","Europe"
14,"r1","Europe"
15,"r1","Europe"
16,"r1","Europe"
17,"r1","Europe"
18,"r1","Europe"
19,"r1","Europe"
20,"r1","Europe"
21,"r1","Europe"
22,"r1","Europe"
23,"r1","Europe"
24,"r1","Europe"
25,"r1","Europe"
1,"r0","World"
2,"r0","World"
3,"r0","World"
4,"r0","World"
5,"r0","World"
6,"r0","World"
7,"r0","World"
8,"r0","World"
9,"r0","World"
10,"r0","World"
11,"r0","World"
12,"r0","World"
13,"r0","World"
14,"r0","World"
15,"r0","World"
16,"r0","World"
17,"r0","World"
18,"r0","World"
19,"r0","World"
20,"r0","World"
21,"r0","World"
22,"r0","World"
23,"r0","World"
24,"r0","World"
25,"r0","World"
