gl_rgn_id,gl_rgn_name,gl_cntry_key,sc_rgn_name,sc_rgn_id,sc_rgn_inland_shp
171,Brazil,BRA,Alagoas,9,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Amapá,17,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Bahia,7,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Ceará,13,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Maranhão,15,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Paraná,3,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Paraíba,11,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Pará,16,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Pernambuco,10,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Piauí,12,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Rio Grande do Norte,14,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Rio Grande do Sul,1,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Rio de Janeiro,5,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Santa Catarina,2,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,Sergipe,8,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,BRA,São Paulo,4,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
171,Brazil,Trindade,Espírito Santo,6,/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp
224,Chile,CHL,Aisén del General Carlos Ibáñez del Campo,2,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
224,Chile,CHL,Antofagasta,11,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
224,Chile,CHL,Araucanía,4,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
224,Chile,CHL,Atacama,9,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
224,Chile,CHL,Bío-Bío,5,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
224,Chile,CHL,Coquimbo,8,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
224,Chile,CHL,Libertador General Bernardo O'Higgins,7,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
224,Chile,CHL,Los Lagos,3,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
224,Chile,CHL,Magallanes y Antártica Chilena,1,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
224,Chile,CHL,Maule,6,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
224,Chile,CHL,Tarapacá,12,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
224,Chile,Easter Island,Valparaíso,10,/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp
137,Ecuador,ECU,El Oro,1,/Volumes/data_edit/git-annex/clip-n-ship/Ecuador/spatial/rgn_inland_gcs.shp
137,Ecuador,ECU,Esmeraldas,5,/Volumes/data_edit/git-annex/clip-n-ship/Ecuador/spatial/rgn_inland_gcs.shp
137,Ecuador,ECU,Guayas,2,/Volumes/data_edit/git-annex/clip-n-ship/Ecuador/spatial/rgn_inland_gcs.shp
137,Ecuador,ECU,Manabi,3,/Volumes/data_edit/git-annex/clip-n-ship/Ecuador/spatial/rgn_inland_gcs.shp
137,Ecuador,Galapagos Islands,Galápagos,4,/Volumes/data_edit/git-annex/clip-n-ship/Ecuador/spatial/rgn_inland_gcs.shp
140,Guadeloupe and Martinique,GLP,,,
140,Guadeloupe and Martinique,MTQ,,,
13,Northern Mariana Islands and Guam,GUM,,,
13,Northern Mariana Islands and Guam,MNP,,,
116,Puerto Rico and Virgin Islands of the United States,PRI,,,
116,Puerto Rico and Virgin Islands of the United States,VIR,,,
163,United States,Alaska,,,
163,United States,Hawaii,,,
163,United States,USA,,,
